Test_Subject,Accuracy,Macro_F1,Test_Samples
S10,0.6653094462540716,0.5689352863994961,1228
S11,0.7620232172470979,0.7016156812531079,1206
S13,0.7050538525269263,0.5929583040112596,1207
S14,0.45650372825186414,0.32839685919108874,1207
S15,0.5500413564929694,0.4650826642459529,1209
S16,0.45348837209302323,0.39254921259842523,1204
S17,0.3097418817651957,0.1528060709683946,1201
S2,0.7755632582322357,0.6591219084297694,1154
S3,0.6683716965046889,0.6102780564831806,1173
S4,0.627318718381113,0.5608381556841515,1186
S5,0.8154613466334164,0.6627954869156268,1203
S6,0.6482412060301508,0.5395384131909484,1194
S7,0.7211055276381909,0.6829954683403261,1194
S8,0.7218984179850125,0.5787834379253962,1201
S9,0.8559463986599665,0.6860611869957665,1194
